Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Leluaitta Varastomyymälä,Tinks Juhlakauppa,Wolt
baby-born-little-sportyoutfit-blue-36cm,Nuken sininen urheiluasu 36 cm - Little Sporty Outfit Blue | BABY born,Title,Default Title,,,,,831878,,,not stocked,0,not stocked
baby-born-little-sportyoutfit-red-36cm,Nuken punainen urheiluasu 36 cm - Little Sporty Outfit Red | BABY born,Title,Default Title,,,,,831885,,,not stocked,0,not stocked
super-mario-figuuri-6-5cm-fire-luigi,"Super Mario Figuuri 6,5cm -Fire Luigi",Title,Default Title,,,,,40551,,,not stocked,0,not stocked
cloud-city-lautapeli,Cloud City Lautapeli,Title,Default Title,,,,,409209,,,not stocked,0,not stocked
paint-horse-varsa-8-cm-schleich,Paint Horse Varsa 8 cm | Schleich,Title,Default Title,,,,,13886,,,not stocked,0,not stocked
my-little-pony-rainbow-tail-surprise,My Little Pony Rainbow Tail Surprise,Title,Default Title,,,,,,,,not stocked,0,not stocked
alakko-naa-mua-satua-ja-totta-oulusta,Saturomaani Alakko Nää Mua? Satua ja Totta Oulusta | Koikkela Kustannus,Title,Default Title,,,,,,,,not stocked,0,not stocked
lumo-stars-pehmo-klipsulla-camo-karhu-8-5-cm,"Lumo Stars Pehmo Klipsulla -Camo Karhu 8,5 cm",Title,Default Title,,,,,55007,,,not stocked,0,not stocked
beanie-boos-avaimenpera-buff-husky-9-cm-ty,Beanie Boos - Avaimenperä Buff 9 cm | TY,Title,Default Title,,,,,TY35240,,,not stocked,1,not stocked
beanie-boos-avaimenpera-giselle-rainbow-leopard-9-cm-ty,Beanie Boos - Avaimenperä Giselle 9 cm | TY,Title,Default Title,,,,,TY35229,,,not stocked,0,not stocked
beanie-boos-avaimenpera-helena-husky-yksisarvinen-9-cm-ty,Beanie Boos - Avaimenperä Helena 9 cm | TY,Title,Default Title,,,,,TY35235,,,not stocked,0,not stocked
beanie-boos-avaimenpera-fantasia-varikas-yksisarvinen-9-cm-ty,Beanie Boos - Avaimenperä Fantasia 9 cm | TY,Title,Default Title,,,,,TY36619,,,not stocked,0,not stocked
beanie-boos-avaimenpera-rosette-lila-yksisarvinen-9-cm-ty,Beanie Boos Avaimenperä Rosette 9 cm | TY,Title,Default Title,,,,,TY35238,,,not stocked,0,not stocked
muotopalapeli-chunky-puzzle,"Muotopalapeli, Chunky Puzzle",Title,Default Title,,,,,62090010,,,not stocked,0,not stocked
nuppipalapeli-lajitelma,Nuppipalapeli Lajitelma,Title,Default Title,,,,,62090050,,,not stocked,0,not stocked
